subjId,task,roi,chromophore,term,nChannels,meanBeta,sdBeta,seBeta
sub-003,audi,PFC,HbO,common,17,2.06013429262684e-11,4.5290230571832e-10,1.09844943797789e-10
sub-003,audi,PFC,HbO,oddball,17,3.68092395704882e-10,8.87559259563867e-10,2.15264739775107e-10
sub-003,audi,PFC,HbO,intercept,17,-1.68967611501917e-08,5.1755392704938e-08,1.2552526518693e-08
sub-003,audi,PFC,HbO,oddball-common,17,3.47491052778613e-10,1.27302040699368e-09,3.0875280009422e-10
sub-003,audi,PFC,HbR,common,19,-2.89149936769247e-10,3.0645989027623e-10,7.03067206296132e-11
sub-003,audi,PFC,HbR,oddball,19,1.96982088725086e-10,7.98047777891366e-10,1.83084716628719e-10
sub-003,audi,PFC,HbR,intercept,19,3.92152750810395e-08,3.31239909295612e-08,7.59916468782712e-09
sub-003,audi,PFC,HbR,oddball-common,19,4.86132025494333e-10,1.0543865545031e-09,2.41892865184582e-10
sub-003,audi,PFC,HbT,common,17,-3.77951659744633e-10,8.04247941510786e-10,1.95058777178503e-10
sub-003,audi,PFC,HbT,oddball,17,7.72835501756928e-10,1.7504473564517e-09,4.2454584369021e-10
sub-003,audi,PFC,HbT,intercept,17,3.15334108878507e-08,7.10209375845491e-08,1.7225107487735e-08
sub-003,audi,PFC,HbT,oddball-common,17,1.15078716150156e-09,2.51939346385592e-09,6.11042668468748e-10
sub-003,audi,Parietal,HbO,common,4,7.31388352549793e-10,1.87165102705423e-10,9.35825513527115e-11
sub-003,audi,Parietal,HbO,oddball,4,7.30041422798224e-10,1.6967212402566e-10,8.48360620128302e-11
sub-003,audi,Parietal,HbO,intercept,4,-1.42455418166235e-07,2.6413759628143e-08,1.32068798140715e-08
sub-003,audi,Parietal,HbO,oddball-common,4,-1.34692975156927e-12,3.23532586923596e-10,1.61766293461798e-10
sub-003,audi,Parietal,HbR,common,4,-1.67846665272653e-10,1.70491482466583e-10,8.52457412332915e-11
sub-003,audi,Parietal,HbR,oddball,4,-5.4063493894269e-11,1.75556235241911e-10,8.77781176209556e-11
sub-003,audi,Parietal,HbR,intercept,4,2.89035660727667e-08,3.33069200811348e-08,1.66534600405674e-08
sub-003,audi,Parietal,HbR,oddball-common,4,1.13783171378384e-10,8.34720377546053e-11,4.17360188773027e-11
sub-003,audi,Parietal,HbT,common,3,5.22095011664473e-10,1.01249740609419e-10,5.8456564996228e-11
sub-003,audi,Parietal,HbT,oddball,3,6.92076768935674e-10,2.75155354975974e-10,1.58861018264346e-10
sub-003,audi,Parietal,HbT,intercept,3,-1.07975232942285e-07,1.35388507083295e-08,7.8166591009722e-09
sub-003,audi,Parietal,HbT,oddball-common,3,1.69981757271202e-10,3.36790113734886e-10,1.94445862825241e-10
sub-003,audi,Temporal,HbO,common,13,-1.01173572683839e-11,5.61018472586567e-10,1.55598528414874e-10
sub-003,audi,Temporal,HbO,oddball,13,4.62346377818893e-10,6.52365820523319e-10,1.80933724327459e-10
sub-003,audi,Temporal,HbO,intercept,13,-1.60628589643401e-08,7.34240230780816e-08,2.03641600045288e-08
sub-003,audi,Temporal,HbO,oddball-common,13,4.72463735087277e-10,1.15854511934404e-09,3.21322602517961e-10
sub-003,audi,Temporal,HbR,common,13,-1.23399422804187e-10,3.00065531362512e-10,8.32232045636066e-11
sub-003,audi,Temporal,HbR,oddball,13,-1.89524628704472e-10,7.10055734436977e-10,1.9693402761152e-10
sub-003,audi,Temporal,HbR,intercept,13,2.71424886244931e-08,2.84155009619771e-08,7.88104197972344e-09
sub-003,audi,Temporal,HbR,oddball-common,13,-6.61252059002849e-11,9.79087690843782e-10,2.71550067116376e-10
sub-003,audi,Temporal,HbT,common,12,-2.64451498302312e-10,9.68278115500479e-10,2.79517815317313e-10
sub-003,audi,Temporal,HbT,oddball,12,4.20219376311419e-10,1.38076422244574e-09,3.98592297758226e-10
sub-003,audi,Temporal,HbT,intercept,12,2.72268376523554e-08,1.10766383392265e-07,3.19755006343427e-08
sub-003,audi,Temporal,HbT,oddball-common,12,6.84670874613731e-10,2.31366668987362e-09,6.67898043106803e-10
