subjId,task,measIndex,src,det,chromophore,roi,term,beta,SE,t,p
sub-003,audi,1,1,3,HbO,PFC,common,1.05696568577379e-10,4.45042436715528e-11,2.37497730233174,0.0175814925199451
sub-003,audi,1,1,3,HbO,PFC,oddball,-8.45097279103195e-10,1.21517127495166e-10,-6.95455279863175,3.91505343481093e-12
sub-003,audi,1,1,3,HbO,PFC,intercept,1.30990038868613e-08,4.58420507665006e-09,2.85742100709716,0.00428578476668237
sub-003,audi,1,1,3,HbO,PFC,oddball-common,-9.50793847680574e-10,1.59935945272184e-10,-5.94484151803701,2.92401778116813e-09
sub-003,audi,2,1,3,HbR,PFC,common,-1.1796870707989e-10,1.40216936413731e-11,-8.41329942709677,4.93947108693372e-17
sub-003,audi,2,1,3,HbR,PFC,oddball,-3.1502254977684e-10,3.82856957752549e-11,-8.2282049051972,2.31289731975033e-16
sub-003,audi,2,1,3,HbR,PFC,intercept,3.38745276758374e-08,1.44431887548515e-09,23.4536349630263,1.9865195381706e-116
sub-003,audi,2,1,3,HbR,PFC,oddball-common,-1.9705384269695e-10,5.03900896148344e-11,-3.91056741917242,9.31023952897078e-05
sub-003,audi,3,1,3,HbT,PFC,common,-1.22721385025114e-11,4.15889749714898e-11,-0.295081533289153,0.767941874473771
sub-003,audi,3,1,3,HbT,PFC,oddball,-1.16011982888004e-09,1.13557098314068e-10,-10.2161806360308,2.65925718526781e-24
sub-003,audi,3,1,3,HbT,PFC,intercept,4.69735315626987e-08,4.28391484650353e-09,10.9650946029046,1.03332261289373e-27
sub-003,audi,3,1,3,HbT,PFC,oddball-common,-1.14784769037752e-09,1.49459275705389e-10,-7.68000303065926,1.84804229624313e-14
sub-003,audi,4,2,1,HbO,PFC,common,2.1939718048151e-10,4.88387115165742e-11,4.49228027662143,7.17950282656939e-06
sub-003,audi,4,2,1,HbO,PFC,oddball,-3.18255092480265e-10,1.33352225416037e-10,-2.38657503830446,0.0170371482436177
sub-003,audi,4,2,1,HbO,PFC,intercept,-2.49000727490034e-08,5.03068136431304e-09,-4.9496421947216,7.63945343604913e-07
