subjId,task,roi,chromophore,term,nChannels,meanBeta,sdBeta,seBeta
sub-002,cate,LeftFrontal,HbO,task,6,9.05230680144853e-10,1.40423739202343e-09,5.73277514699e-10
sub-002,cate,LeftFrontal,HbO,intercept,6,-1.95751730990413e-08,1.70002600559774e-08,6.94032710529387e-09
sub-002,cate,LeftFrontal,HbO,dct01,6,1.51411498484399e-08,2.63660731589114e-08,1.07639042933707e-08
sub-002,cate,LeftFrontal,HbO,dct02,6,-2.21330639113315e-08,1.419589897195e-08,5.79545148689629e-09
sub-002,cate,LeftFrontal,HbO,dct03,6,-4.26152954397972e-09,1.16717075251527e-08,4.76495464393778e-09
sub-002,cate,LeftFrontal,HbR,task,5,-6.42588772626847e-10,1.19040339448649e-09,5.32364582143659e-10
sub-002,cate,LeftFrontal,HbR,intercept,5,1.55150823338755e-08,1.90684046373332e-08,8.52764979830985e-09
sub-002,cate,LeftFrontal,HbR,dct01,5,-1.50987737563024e-08,2.05025425758785e-08,9.1690157822496e-09
sub-002,cate,LeftFrontal,HbR,dct02,5,3.0550129045349e-08,4.22897720666903e-08,1.89125610188183e-08
sub-002,cate,LeftFrontal,HbR,dct03,5,-1.73126231033214e-08,3.02090944787213e-08,1.35099177586269e-08
sub-002,cate,LeftFrontal,HbT,task,5,5.532965197579e-10,7.70331145477828e-10,3.44502561294741e-10
sub-002,cate,LeftFrontal,HbT,intercept,5,-5.02515732754997e-09,1.23055624085945e-08,5.50321480939666e-09
sub-002,cate,LeftFrontal,HbT,dct01,5,-3.1060773720288e-10,7.70516042406662e-09,3.44585249715081e-09
sub-002,cate,LeftFrontal,HbT,dct02,5,-1.16849048473049e-09,1.67476902264825e-08,7.48979476250476e-09
sub-002,cate,LeftFrontal,HbT,dct03,5,-5.3419679574307e-09,7.33211923236621e-09,3.27902340454088e-09
sub-002,cate,LeftTemporal,HbO,task,6,7.10898578726118e-10,2.40568781265946e-09,9.82117936907974e-10
sub-002,cate,LeftTemporal,HbO,intercept,6,-2.12831010586987e-09,2.6969516454481e-08,1.10102589871789e-08
sub-002,cate,LeftTemporal,HbO,dct01,6,3.85814336627994e-09,1.13846195781943e-08,4.64775148037924e-09
sub-002,cate,LeftTemporal,HbO,dct02,6,-1.13008185691549e-09,1.512050014843e-08,6.17291833655514e-09
sub-002,cate,LeftTemporal,HbO,dct03,6,-1.53229475117718e-08,1.25036458476809e-08,5.1045920418813e-09
sub-002,cate,LeftTemporal,HbR,task,6,-6.6011430373818e-10,5.72789958032419e-10,2.33840521161603e-10
sub-002,cate,LeftTemporal,HbR,intercept,6,7.69375361957587e-09,1.07854867108525e-08,4.40315651152624e-09
sub-002,cate,LeftTemporal,HbR,dct01,6,-3.75210358401582e-09,1.05775579768505e-08,4.31826996133163e-09
sub-002,cate,LeftTemporal,HbR,dct02,6,-1.27742635747097e-09,9.24249525240367e-09,3.77323288641417e-09
sub-002,cate,LeftTemporal,HbR,dct03,6,9.25073614543157e-09,1.0203205197495e-08,4.16544107912934e-09
sub-002,cate,LeftTemporal,HbT,task,5,5.33543444460246e-10,2.38267931000571e-09,1.06556658115101e-09
sub-002,cate,LeftTemporal,HbT,intercept,5,-5.44831965533501e-09,2.42501024090847e-08,1.0844975489609e-08
sub-002,cate,LeftTemporal,HbT,dct01,5,8.05562998283261e-09,1.12600542157959e-08,5.03564933137055e-09
sub-002,cate,LeftTemporal,HbT,dct02,5,3.29222950243014e-10,2.08944117707777e-08,9.34426501386614e-09
sub-002,cate,LeftTemporal,HbT,dct03,5,-1.91292657258135e-10,1.81474119460339e-08,8.11576934540472e-09
sub-002,cate,RightFrontal,HbO,task,5,1.25429307039996e-09,1.28973966091703e-09,5.76789111017602e-10
sub-002,cate,RightFrontal,HbO,intercept,5,-1.39207473313745e-08,1.35408458225553e-08,6.05565034641552e-09
sub-002,cate,RightFrontal,HbO,dct01,5,3.28551928087457e-09,1.09065424240702e-08,4.87755405194128e-09
sub-002,cate,RightFrontal,HbO,dct02,5,-5.1943058345673e-09,1.11088015478678e-08,4.96800708191746e-09
sub-002,cate,RightFrontal,HbO,dct03,5,-1.40394344407132e-08,1.19236839735057e-08,5.33243358139672e-09
sub-002,cate,RightFrontal,HbR,task,5,4.82993695794212e-10,8.39692130072833e-10,3.7552173660289e-10
sub-002,cate,RightFrontal,HbR,intercept,5,-4.6308372613733e-09,7.74084772631283e-09,3.46181234390204e-09
sub-002,cate,RightFrontal,HbR,dct01,5,6.31190657007155e-09,8.43724842353871e-09,3.7732522036171e-09
sub-002,cate,RightFrontal,HbR,dct02,5,-2.27613937726684e-09,8.33749442078473e-09,3.72864085737998e-09
sub-002,cate,RightFrontal,HbR,dct03,5,7.3819770104624e-09,1.41799400355075e-08,6.34146196725312e-09
sub-002,cate,RightFrontal,HbT,task,5,2.29070067510447e-09,2.08256069989199e-09,9.31349458445606e-10
sub-002,cate,RightFrontal,HbT,intercept,5,-2.60309508310125e-08,1.81858899746992e-08,8.13297724295185e-09
sub-002,cate,RightFrontal,HbT,dct01,5,1.24402927393562e-08,6.06565980896587e-09,2.71264553224721e-09
sub-002,cate,RightFrontal,HbT,dct02,5,-1.42111114766322e-08,4.97133148164409e-09,2.22324702632819e-09
sub-002,cate,RightFrontal,HbT,dct03,5,-1.92523587580053e-09,1.09826150571101e-08,4.91157476768216e-09
sub-002,cate,RightTemporal,HbO,task,6,2.10580486583398e-11,1.01298091071596e-09,4.13547725072317e-10
sub-002,cate,RightTemporal,HbO,intercept,6,-1.88120138125728e-08,3.18851163181114e-08,1.30170442281104e-08
sub-002,cate,RightTemporal,HbO,dct01,6,4.25952564434188e-08,6.74828561874486e-08,2.75497606741446e-08
sub-002,cate,RightTemporal,HbO,dct02,6,-1.01414729509045e-08,3.33931781518104e-08,1.36327078936318e-08
sub-002,cate,RightTemporal,HbO,dct03,6,2.90133089827803e-09,3.21067951511249e-08,1.31075442327202e-08
sub-002,cate,RightTemporal,HbR,task,5,8.24447622494183e-10,2.09817975738339e-09,9.38334513304655e-10
sub-002,cate,RightTemporal,HbR,intercept,5,-1.42790751202084e-08,2.04423424036437e-08,9.14209344677474e-09
sub-002,cate,RightTemporal,HbR,dct01,5,4.360694996311e-09,2.7911074374846e-08,1.24822119254416e-08
sub-002,cate,RightTemporal,HbR,dct02,5,1.04086017373759e-09,1.44125698598234e-08,6.44549718740593e-09
sub-002,cate,RightTemporal,HbR,dct03,5,-8.97147455316895e-09,5.47012352955738e-09,2.44631361148228e-09
sub-002,cate,RightTemporal,HbT,task,6,4.59883985651563e-10,1.63153826930405e-09,6.66072709269749e-10
sub-002,cate,RightTemporal,HbT,intercept,6,-2.19055805164366e-08,3.9581074996747e-08,1.61589062021439e-08
sub-002,cate,RightTemporal,HbT,dct01,6,6.22048436999044e-09,7.09872695810968e-08,2.89804314511801e-08
sub-002,cate,RightTemporal,HbT,dct02,6,-2.53387806193161e-08,3.21300793317598e-08,1.31170499596592e-08
sub-002,cate,RightTemporal,HbT,dct03,6,-3.15722441501207e-08,3.50912807406046e-08,1.43259553725393e-08
