subjId,task,measIndex,src,det,chromophore,roi,term,beta,SE,t,p
sub-002,cate,1,2,2,HbO,LeftFrontal,task,2.03497609247275e-09,1.3828312161489e-10,14.7160121112976,5.45878298468252e-48
sub-002,cate,1,2,2,HbO,LeftFrontal,intercept,-4.15691654946396e-08,5.74103464475897e-09,-7.24070974429467,5.16615909081162e-13
sub-002,cate,1,2,2,HbO,LeftFrontal,dct01,3.55542205357589e-08,7.88923363585785e-09,4.5066760824726,6.74027133215069e-06
sub-002,cate,1,2,2,HbO,LeftFrontal,dct02,-3.40861451606821e-08,7.12638196577156e-09,-4.78309264426183,1.77742535678525e-06
sub-002,cate,1,2,2,HbO,LeftFrontal,dct03,-8.32847768193235e-09,6.58278606330755e-09,-1.26519039231053,0.205863955242822
sub-002,cate,2,2,2,HbR,LeftFrontal,task,-2.60038982847638e-09,7.51601796848216e-11,-34.5979724819833,1.35137832949843e-234
sub-002,cate,2,2,2,HbR,LeftFrontal,intercept,3.76647403407689e-08,2.43465031427229e-09,15.4702875069871,9.87665627570624e-53
sub-002,cate,2,2,2,HbR,LeftFrontal,dct01,-1.43321649748595e-08,3.34939508307213e-09,-4.27903087554358,1.91331221811576e-05
sub-002,cate,2,2,2,HbR,LeftFrontal,dct02,2.97418797496327e-08,3.12920853944708e-09,9.50460136315747,3.07257088129536e-21
sub-002,cate,2,2,2,HbR,LeftFrontal,dct03,-3.90410945927897e-09,2.93422217903426e-09,-1.33054323124363,0.183401996473712
sub-002,cate,3,2,2,HbT,LeftFrontal,task,-2.10548381990215e-10,8.7250145037386e-11,-2.41315795979476,0.0158518620302252
sub-002,cate,3,2,2,HbT,LeftFrontal,intercept,1.24099391375541e-08,3.8396519867402e-09,3.23204789923941,0.00123729454953406
sub-002,cate,3,2,2,HbT,LeftFrontal,dct01,-1.2114192403632e-08,5.27128034090004e-09,-2.29814990290643,0.0215956694430998
sub-002,cate,3,2,2,HbT,LeftFrontal,dct02,2.1504326930731e-08,4.67052281256191e-09,4.60426547385501,4.24520728112639e-06
sub-002,cate,3,2,2,HbT,LeftFrontal,dct03,-7.52643460559743e-09,4.25884599371586e-09,-1.7672474225889,0.0772497676129727
sub-002,cate,4,2,5,HbO,LeftFrontal,task,2.35705580208219e-09,6.06294793124609e-11,38.8763985574549,5.43039851457482e-288
sub-002,cate,4,2,5,HbO,LeftFrontal,intercept,-2.85146576509081e-08,4.66902949580074e-09,-6.10719158586463,1.09322928932153e-09
sub-002,cate,4,2,5,HbO,LeftFrontal,dct01,1.44230067077544e-08,6.33632041520262e-09,2.27624327096046,0.0228749126649658
sub-002,cate,4,2,5,HbO,LeftFrontal,dct02,-1.15791363376969e-08,4.79052021694669e-09,-2.41709372120697,0.0156816991033446
sub-002,cate,4,2,5,HbO,LeftFrontal,dct03,-1.55612240043042e-08,4.27336888316609e-09,-3.64144178275924,0.000273948517106315
sub-002,cate,5,3,3,HbO,RightFrontal,task,-8.0320297011385e-11,1.08495750770177e-10,-0.740308228121532,0.459148876535463
sub-002,cate,5,3,3,HbO,RightFrontal,intercept,-1.17391300669039e-09,3.86310603242721e-09,-0.303878018577919,0.761233879488336
sub-002,cate,5,3,3,HbO,RightFrontal,dct01,1.08991305645677e-08,5.31236452939019e-09,2.05165336532709,0.0402570240530626
sub-002,cate,5,3,3,HbO,RightFrontal,dct02,8.34684531798939e-09,4.88908799416871e-09,1.70723974040655,0.0878415987139288
sub-002,cate,5,3,3,HbO,RightFrontal,dct03,-1.90455446584475e-08,4.54870304796717e-09,-4.1870274796151,2.87649595328278e-05
sub-002,cate,6,3,6,HbR,RightFrontal,task,6.52955426102105e-10,4.10426398464623e-11,15.9091965951695,1.37126285103676e-55
sub-002,cate,6,3,6,HbR,RightFrontal,intercept,-5.82441451161797e-09,1.01744485167225e-09,-5.72455057593056,1.09957723545302e-08
sub-002,cate,6,3,6,HbR,RightFrontal,dct01,1.51096860671031e-09,1.39278694309587e-09,1.08485265043607,0.278040921705617
sub-002,cate,6,3,6,HbR,RightFrontal,dct02,2.42946820544153e-09,1.33623989494734e-09,1.81813775702099,0.0691048297025458
sub-002,cate,6,3,6,HbR,RightFrontal,dct03,-3.05446216508551e-09,1.28027117964018e-09,-2.3857931145056,0.0170805399127237
sub-002,cate,7,3,6,HbT,RightFrontal,task,2.73665295692726e-09,6.1719172624413e-11,44.3404025128616,0
sub-002,cate,7,3,6,HbT,RightFrontal,intercept,-3.37551299323997e-08,2.54848117094209e-09,-13.2451949487708,2.31018290027977e-39
sub-002,cate,7,3,6,HbT,RightFrontal,dct01,1.72552872643021e-08,3.5012607676873e-09,4.9283068040944,8.57121473611242e-07
sub-002,cate,7,3,6,HbT,RightFrontal,dct02,-1.16694781524265e-08,3.13053825021967e-09,-3.72762675926661,0.000195497322689328
sub-002,cate,7,3,6,HbT,RightFrontal,dct03,-1.25505124329274e-08,2.87203533373815e-09,-4.36990182032059,1.26903075596332e-05
sub-002,cate,8,5,2,HbO,LeftFrontal,task,-1.24080045045655e-09,3.93286597816236e-11,-31.5495228504155,7.45057892397606e-199
sub-002,cate,8,5,2,HbO,LeftFrontal,intercept,8.43567525179315e-09,5.94406399278091e-09,1.41917638538857,0.155911954208979
sub-002,cate,8,5,2,HbO,LeftFrontal,dct01,-1.93661439116716e-08,7.71287975638642e-09,-2.51088368072068,0.0120752516150698
sub-002,cate,8,5,2,HbO,LeftFrontal,dct02,-1.12686019534361e-08,4.75901344638376e-09,-2.36784410895051,0.0179311375696044
sub-002,cate,8,5,2,HbO,LeftFrontal,dct03,-1.98006034902128e-09,4.17370793941761e-09,-0.474412771032939,0.635226977002932
sub-002,cate,9,5,2,HbR,LeftFrontal,task,-4.14237761877303e-10,2.32052485181101e-11,-17.8510375165351,4.44633892085032e-69
sub-002,cate,9,5,2,HbR,LeftFrontal,intercept,7.58773078769611e-09,2.97758572991655e-09,2.54828289626064,0.0108560740816771
sub-002,cate,9,5,2,HbR,LeftFrontal,dct01,-1.84144290930874e-08,3.84462193694864e-09,-4.78965926821464,1.72050477406754e-06
sub-002,cate,9,5,2,HbR,LeftFrontal,dct02,1.42707621273719e-08,2.54108029059865e-09,5.61602172909299,2.06314654558099e-08
sub-002,cate,9,5,2,HbR,LeftFrontal,dct03,-9.2325688962078e-09,2.22448405792932e-09,-4.1504315858312,3.37546048011417e-05
sub-002,cate,10,5,2,HbT,LeftFrontal,task,2.56217969833439e-10,9.66699932161348e-11,2.65043951395121,0.00806485781322137
sub-002,cate,10,5,2,HbT,LeftFrontal,intercept,-1.50518052030281e-09,2.67436350016879e-09,-0.562818225797583,0.573584720337479
sub-002,cate,10,5,2,HbT,LeftFrontal,dct01,1.11432255610285e-09,3.67177695836352e-09,0.303483182322571,0.761534698297477
sub-002,cate,10,5,2,HbT,LeftFrontal,dct02,7.34702635749169e-09,3.48896243418011e-09,2.10579119038815,0.0352738382872026
sub-002,cate,10,5,2,HbT,LeftFrontal,dct03,-1.36389716927759e-08,3.30941527774352e-09,-4.12126328916793,3.83097173724959e-05
sub-002,cate,11,5,5,HbO,LeftFrontal,task,1.74335611859043e-09,1.00704345620837e-10,17.3116274957424,3.40365002056658e-65
sub-002,cate,11,5,5,HbO,LeftFrontal,intercept,-2.54804250312303e-08,2.94733105204914e-09,-8.64525381820103,7.19655793491035e-18
sub-002,cate,11,5,5,HbO,LeftFrontal,dct01,1.1804448949342e-08,4.05137091696958e-09,2.91369247379891,0.00358816392318155
sub-002,cate,11,5,5,HbO,LeftFrontal,dct02,-2.03392021363192e-08,3.82938390188612e-09,-5.31135103124588,1.13686007071163e-07
sub-002,cate,11,5,5,HbO,LeftFrontal,dct03,-1.23443395065983e-08,3.61829402664849e-09,-3.41164632163199,0.000651004070855312
sub-002,cate,12,5,5,HbR,LeftFrontal,task,-2.2797881426495e-10,1.64037368736604e-11,-13.8979804431646,4.33732469788243e-43
sub-002,cate,12,5,5,HbR,LeftFrontal,intercept,3.1957783899696e-08,9.0015616162809e-09,3.55024886369658,0.00038852345285476
sub-002,cate,12,5,5,HbR,LeftFrontal,dct01,-4.69173057663951e-08,8.54224236011249e-09,-5.49238757091145,4.16802328612265e-08
