subjId,task,roi,chromophore,term,nChannels,meanBeta,sdBeta,seBeta
sub-003,motor,LeftCentral,HbO,right,6,1.46566924346423e-09,1.01307992538714e-09,4.13588147642559e-10
sub-003,motor,LeftCentral,HbO,intercept,6,-1.06888984436215e-08,7.64271201480655e-09,3.1201241145524e-09
sub-003,motor,LeftCentral,HbO,dct01,6,6.61765830894383e-10,1.08502470984331e-08,4.4295948290458e-09
sub-003,motor,LeftCentral,HbO,dct02,6,1.09283617456889e-08,8.28657737554523e-09,3.38298104736286e-09
sub-003,motor,LeftCentral,HbO,dct03,6,-1.40121521165363e-08,1.10585908773751e-08,4.51465082062766e-09
sub-003,motor,LeftCentral,HbR,right,7,-7.36348624604003e-10,3.35257176811703e-10,1.26715302156197e-10
sub-003,motor,LeftCentral,HbR,intercept,7,4.27144890751701e-09,6.6034314428058e-09,2.49586248533266e-09
sub-003,motor,LeftCentral,HbR,dct01,7,-7.71555287715579e-10,6.12010160161615e-09,2.31318097661777e-09
sub-003,motor,LeftCentral,HbR,dct02,7,-2.96933505758091e-10,6.68382665652705e-09,2.52624901991927e-09
sub-003,motor,LeftCentral,HbR,dct03,7,-4.42906162229924e-10,7.2079851394545e-09,2.72436230469226e-09
sub-003,motor,LeftCentral,HbT,right,5,1.32683273225533e-09,1.56748283024296e-09,7.00999632397405e-10
sub-003,motor,LeftCentral,HbT,intercept,5,-1.07711054569855e-08,1.07479284426102e-08,4.80661972299598e-09
sub-003,motor,LeftCentral,HbT,dct01,5,-7.80654586293951e-09,2.15765075275657e-08,9.64930750973456e-09
sub-003,motor,LeftCentral,HbT,dct02,5,1.14974080240725e-08,1.01545783014623e-08,4.5412654729828e-09
sub-003,motor,LeftCentral,HbT,dct03,5,-2.35080615586561e-08,1.95520264267626e-08,8.7439320376227e-09
sub-003,motor,RightCentral,HbO,left,4,2.45914657711468e-09,6.91209677183424e-10,3.45604838591712e-10
sub-003,motor,RightCentral,HbO,intercept,4,-8.85701507461944e-09,1.36957620095875e-08,6.84788100479373e-09
sub-003,motor,RightCentral,HbO,dct01,4,2.43895177676565e-09,1.44624088998592e-08,7.2312044499296e-09
sub-003,motor,RightCentral,HbO,dct02,4,1.8862089923991e-08,9.05283218993407e-09,4.52641609496704e-09
sub-003,motor,RightCentral,HbO,dct03,4,7.37798699146535e-09,1.64688115538701e-08,8.23440577693506e-09
sub-003,motor,RightCentral,HbR,left,6,-4.83593078242767e-10,4.72219486965106e-10,1.92782798277227e-10
sub-003,motor,RightCentral,HbR,intercept,6,-1.46191047058826e-09,1.00815828948786e-08,4.11578898200391e-09
sub-003,motor,RightCentral,HbR,dct01,6,-3.38754906505463e-09,9.56554619073768e-09,3.90511787972178e-09
sub-003,motor,RightCentral,HbR,dct02,6,-8.86798841723473e-11,5.02206377865254e-09,2.05024895223539e-09
sub-003,motor,RightCentral,HbR,dct03,6,1.01178630063628e-09,1.86511173144834e-08,7.6142867588788e-09
sub-003,motor,RightCentral,HbT,left,5,2.05139654361757e-09,8.62339874678906e-10,3.85650115898137e-10
sub-003,motor,RightCentral,HbT,intercept,5,-9.07502359549493e-09,2.42729116313999e-09,1.08551760839311e-09
sub-003,motor,RightCentral,HbT,dct01,5,-4.02660902134339e-11,5.4845969408218e-09,2.45278631777299e-09
sub-003,motor,RightCentral,HbT,dct02,5,1.87117242354646e-08,5.10734019842896e-09,2.28407197358088e-09
sub-003,motor,RightCentral,HbT,dct03,5,-7.5564732099394e-11,4.3491840680834e-09,1.94501424457871e-09
